feature,importance
feat_233,1.4
feat_3,1.4
feat_148,1.2000000000000002
feat_202,1.2
feat_25,1.0
feat_110,0.8
feat_214,0.8
feat_16,0.8
feat_230,0.8
feat_59,0.8
feat_91,0.8
feat_239,0.8
feat_247,0.8
feat_338,0.8
feat_48,0.8
feat_173,0.6000000000000001
feat_8,0.6000000000000001
feat_228,0.6000000000000001
feat_234,0.6000000000000001
feat_240,0.6000000000000001
feat_177,0.6000000000000001
feat_123,0.6000000000000001
feat_29,0.6000000000000001
feat_281,0.6000000000000001
feat_259,0.6000000000000001
feat_341,0.6000000000000001
feat_176,0.6000000000000001
feat_270,0.6
feat_24,0.6
feat_251,0.4
feat_163,0.4
feat_314,0.4
feat_34,0.4
feat_249,0.4
feat_188,0.4
feat_20,0.4
feat_81,0.4
feat_235,0.4
feat_205,0.4
feat_210,0.4
feat_206,0.2
feat_324,0.2
feat_33,0.2
feat_327,0.2
feat_216,0.2
feat_120,0.2
feat_283,0.2
feat_264,0.2
feat_266,0.2
feat_199,0.2
feat_102,0.2
feat_310,0.2
feat_300,0.2
feat_297,0.2
feat_27,0.2
feat_179,0.2
feat_107,0.2
feat_237,0.2
feat_36,0.0
feat_311,0.0
feat_13,0.0
feat_336,0.0
feat_12,0.0
feat_17,0.0
feat_19,0.0
feat_174,0.0
feat_172,0.0
feat_171,0.0
feat_170,0.0
feat_165,0.0
feat_167,0.0
feat_160,0.0
feat_161,0.0
feat_153,0.0
feat_152,0.0
feat_158,0.0
feat_156,0.0
feat_149,0.0
feat_77,0.0
feat_78,0.0
feat_145,0.0
feat_62,0.0
feat_61,0.0
feat_60,0.0
feat_76,0.0
feat_75,0.0
feat_74,0.0
feat_68,0.0
feat_66,0.0
feat_141,0.0
feat_140,0.0
feat_139,0.0
feat_144,0.0
feat_138,0.0
feat_131,0.0
feat_133,0.0
feat_135,0.0
feat_6,0.0
feat_10,0.0
feat_11,0.0
feat_128,0.0
feat_127,0.0
feat_126,0.0
feat_124,0.0
feat_2,0.0
feat_329,0.0
feat_326,0.0
feat_321,0.0
feat_323,0.0
feat_316,0.0
feat_335,0.0
feat_184,0.0
feat_112,0.0
feat_204,0.0
feat_201,0.0
feat_51,0.0
feat_194,0.0
feat_38,0.0
feat_39,0.0
feat_40,0.0
feat_43,0.0
feat_189,0.0
feat_195,0.0
feat_113,0.0
feat_114,0.0
feat_121,0.0
feat_118,0.0
feat_106,0.0
feat_185,0.0
feat_238,0.0
feat_236,0.0
feat_232,0.0
feat_101,0.0
feat_220,0.0
feat_104,0.0
feat_225,0.0
feat_222,0.0
feat_87,0.0
feat_88,0.0
feat_90,0.0
feat_93,0.0
feat_94,0.0
feat_96,0.0
feat_98,0.0
feat_99,0.0
feat_207,0.0
feat_86,0.0
feat_209,0.0
feat_213,0.0
feat_276,0.0
feat_269,0.0
feat_274,0.0
feat_272,0.0
feat_271,0.0
feat_255,0.0
feat_256,0.0
feat_252,0.0
feat_263,0.0
feat_258,0.0
feat_254,0.0
feat_246,0.0
feat_294,0.0
feat_292,0.0
feat_291,0.0
feat_289,0.0
feat_286,0.0
feat_284,0.0
feat_282,0.0
feat_279,0.0
feat_273,0.0
feat_278,0.0
feat_277,0.0
feat_347,0.0
feat_343,0.0
feat_301,0.0
feat_340,0.0
feat_295,0.0
feat_84,0.0
feat_83,0.0
feat_82,0.0
feat_79,0.0
feat_348,0.0
feat_349,0.0
feat_309,0.0
feat_302,0.0
feat_21,0.0
feat_303,0.0
feat_307,0.0
feat_28,0.0
feat_30,0.0
feat_31,0.0
feat_32,0.0
feat_1,0.0
