Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
56,16695688,PSTU_DataForge,"2026-08-13 11:44:12",0.210951008645,45,"sajibbosu,tanvirahmed74862"
57,16712381,Night_owls,"2026-08-13 10:21:00",0.210253754531,20,"faysalmahamudhimel,tanmoysazzanrupom"
58,16709389,"Data Paglus","2026-08-13 11:21:28",0.210006176652,10,"sadiajahanturabe,wasiiiif"
59,16700230,Team_Prime,"2026-08-13 09:49:44",0.209996645421,34,tasnimtaz
60,16696562,MetricCrusherRU,"2026-08-13 06:05:34",0.209328782707,31,"mdahanafarifkhan,tawhid830"
61,16697302,"Al Haybah","2026-08-11 06:15:19",0.209205020920,8,"asifxzaman,robiulhasanjisan13"
62,16697121,COIN_Lab,"2026-08-10 10:47:25",0.208549222797,11,"lucidloop,tofael088"
63,16707852,Helios,"2026-08-13 11:09:00",0.207601144258,25,beingmysterious
64,16695682,SixSeven,"2026-08-13 10:11:08",0.207357859531,23,"abdusshakursifat,lesgoo07"
65,16705253,"Chowdhury Md. Asiful Mostafa","2026-08-13 11:55:30",0.207050923335,10,asifulmostafa
66,16699825,"Md. Hajek Anjum Benoy","2026-08-13 06:25:45",0.206773618538,17,mdhajekanjumbenoy
67,16695760,Rude_noe,"2026-08-12 14:51:24",0.206097037355,28,"jannatfermim,sadiahomayranowshin"
68,16696975,Kichu_Pari_Na,"2026-08-10 11:47:38",0.205802357207,14,"mohammadhabibzz,zubayeralkafi"
69,16697318,"Kicchu Parina bhai","2026-08-11 16:59:04",0.205596107055,19,dibbo06
70,16695709,Asmaul_Husna_Ankhy,"2026-08-13 07:59:10",0.205586592178,15,asmaulhusnaankhy
71,16710440,Insight_Engineers,"2026-08-12 09:27:43",0.203750000000,9,"mehedyalvi,mosabbirhossain1"
72,16697055,Small_Potatoes,"2026-08-13 11:48:15",0.203743479594,9,"azmainislam,samantarahmanroza"
73,16695936,CousinMrg,"2026-08-12 12:08:13",0.203376205787,22,"humairamumtahinmahi,neelchini"
74,16696110,"Binary Brain","2026-08-13 11:00:45",0.203011712214,29,mdsohel123
75,16696570,"Data pirates","2026-08-12 13:51:17",0.202800579430,25,"afrin75,aishwariyasarder"
76,16695759,rishat8903,"2026-08-13 07:21:06",0.201438848920,16,rishat8903
77,16697289,Technomancers,"2026-08-13 05:22:49",0.200807025872,21,"faheemfayaz01,turjodeb"
78,16705508,new_folder,"2026-08-13 10:35:52",0.200122025625,20,"aeyonn,shad1o1"
79,16696211,Firefox,"2026-08-12 19:54:20",0.199170124481,7,"arabizaman,fahimalamjaki"
80,16705430,"Alif Ul Haque","2026-08-11 14:35:24",0.198919891989,2,alifulhaque
81,16695750,Data_Alchemist,"2026-08-12 17:48:55",0.195361911454,4,farisaahmed
82,16695784,BigO,"2026-08-12 16:09:42",0.195360195360,10,mihrubazizbhuiyan
83,16697423,Puchu_Puch_Tum_Kaha_Hoo,"2026-08-13 10:56:51",0.194614443084,8,"kabyadebkrishna,shahrearalsakib"
84,16701393,Data_killer,"2026-08-13 05:39:43",0.192994051553,4,mdhadi2
85,16695678,PSTU_Hail_Mary,"2026-08-10 19:10:11",0.192722371967,8,hindbiswaskrishna
86,16701477,NITER_Ar_Akta_DataTeam,"2026-08-11 20:06:05",0.192550948699,9,sushmoynandi
87,16695675,letObiSolo,"2026-08-13 06:15:24",0.191365227537,13,obiditislam
88,16697416,"Ki je hoi","2026-08-09 19:19:10",0.191358024691,2,mdmeheduzzaman
89,16708213,FirstTime,"2026-08-12 21:13:20",0.189139719341,4,"dipta117,kazirifatalmuin"
90,16697186,"PROSENJIT MONDOL","2026-08-09 17:49:44",0.188556566970,3,prosenjitmondol
91,16701733,PSTU_Data_Crafter,"2026-08-13 08:19:23",0.187766714082,14,"shafayethossain7,shaidibnasobhan"
92,16696105,ByteForce,"2026-08-09 14:57:43",0.185412406271,5,mdsaimon114
93,16700612,data_not_enough,"2026-08-12 16:54:01",0.180897250361,3,mahabub001cs
